athlete_id,age,gender,height_cm,weight_kg,monthly_income_usd,previously_joined_gym,exercise_plan,balanced_diet,athletics_food_supplements,medical_limitations,smoker,sleeping_habits,workout_prefer_time,frequency_of_play_sports,regular_exercise,preferred_sports,level_of_fittness,motivation_for_workingout
123944,23,F,173,82,8265,no,no,yes,yes,no,TRUE,night regularly,AM,Once per week,In a pair,Swimming,Good,3
125052,37,F,189,85,120861,no,no,yes,yes,no,TRUE,night regularly,AM,Every other day,In a pair,Running,Average,3
386,34,F,173,68,72294,yes,yes,yes,sometimes,no,FALSE,less than 8 hrs,AM,Every day,In a pair,Running,Perfect,4.5
124302,32,F,155,64,92236,yes,no,yes,yes,no,TRUE,less than 8 hrs,AM,Every day,As a group,Riding a bike,Good,3
435,25,F,170,66,79764,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,As a group,Swimming,Perfect,4.5
124835,30,F,178,80,69928,yes,no,yes,yes,no,FALSE,less than 8 hrs,AM,Every other day,As a group,Swimming,Average,3
410,30,F,175,66,87022,yes,yes,yes,yes,no,FALSE,night regularly,AM,Once per week,As a group,Swimming,Good,4
122245,30,F,155,49,51341,yes,yes,yes,sometimes,no,FALSE,night regularly,AM,Every day,Alone,Roller scating,Perfect,4.5
126013,24,M,181,93,9166,no,no,yes,no,no,TRUE,less than 8 hrs,PM,Less often,As a group,Running,Unfit,1
126048,19,M,180,90,11239,yes,no,yes,no,no,FALSE,less than 8 hrs,PM,Less often,In a pair,Riding a bike,Unfit,1.5
125064,44,F,183,87,124574,yes,no,no,sometimes,no,TRUE,night regularly,AM,Every day,Alone,Extreme sports,Average,3.5
123894,19,F,165,74,371,yes,no,no,yes,no,FALSE,less than 8 hrs,AM,Once per week,As a group,Martial arts,Good,3
126015,21,M,188,90,17856,no,no,yes,no,no,FALSE,less than 8 hrs,PM,Several times per month,Alone,Running,Poor,1
123352,21,F,156,60,10051,yes,yes,no,yes,no,TRUE,less than 8 hrs,PM,Every other day,Alone,Roller scating,Average,3.5
125452,21,M,156,70,17160,no,yes,yes,sometimes,no,FALSE,less than 8 hrs,PM,Less often,As a group,Riding a bike,Unfit,1
124129,19,F,181,92,18650,yes,yes,no,yes,no,FALSE,night regularly,AM,Every day,As a group,Martial arts,Good,4
208,34,F,166,67,74117,yes,yes,yes,yes,no,FALSE,night regularly,PM,Every day,Alone,Swimming,Good,4.5
111,26,M,169,66,83827,yes,no,yes,yes,no,FALSE,night regularly,AM,Every day,In a pair,Extreme sports,Perfect,3.5
